時刻,CABLE Output (VB-Audio Virtual Cable),ヘッドセット (Jabra Elite 85t Hands-Free AG Audio)
2023/02/12 04:34:45.581,-23.990724099761756,-51.26711653529089
2023/02/12 04:34:45.729,-26.402727800923287,-60.80976000622779
2023/02/12 04:34:45.861,-23.095604167472864,-62.15298423043034
2023/02/12 04:34:45.999,-36.015866279168954,-64.25334234506771
2023/02/12 04:34:46.125,-32.92284566588775,-65.70947433745441
2023/02/12 04:34:46.251,-41.43998471011277,-77.9848743287182
2023/02/12 04:34:46.392,-57.48092258326793,-76.53514336762464
2023/02/12 04:34:46.530,-42.35316709671166,-82.62529519786625
2023/02/12 04:34:46.666,-68.14261004767117,-82.37413047278751
2023/02/12 04:34:46.805,-67.96341471980986,-71.3047845028154
2023/02/12 04:34:46.938,-44.407399924888786,-52.618718254500074
2023/02/12 04:34:47.066,-25.297306149927184,-50.010886359370694
2023/02/12 04:34:47.197,-32.5343588737675,-61.55877156648478
2023/02/12 04:34:47.329,-27.22349939084776,-70.49961158318274
2023/02/12 04:34:47.469,-32.21674457306639,-62.4059463610336
2023/02/12 04:34:47.597,-53.82317330611616,-62.449937720492386
2023/02/12 04:34:47.734,-33.94467338218104,-69.63177804783753
2023/02/12 04:34:47.859,-43.40676766720874,-51.07587418652743
2023/02/12 04:34:47.984,-29.057456858384715,-51.69210105435737
2023/02/12 04:34:48.124,-22.89073525309611,-70.84757362387197
2023/02/12 04:34:48.251,-43.34725209690353,-74.70544935543121
2023/02/12 04:34:48.377,-34.56112797325309,-54.591419321863846
2023/02/12 04:34:48.505,-31.40306210200646,-62.594472253548645
2023/02/12 04:34:48.630,-38.29604670469068,-53.032741997236286
2023/02/12 04:34:48.765,-27.708056953936637,-48.926769225486794
2023/02/12 04:34:48.898,-32.23588942468038,-77.92618112555715
2023/02/12 04:34:49.033,-40.236795176653416,-78.22410403690306
2023/02/12 04:34:49.171,-67.92590231967532,-74.40785663161117
2023/02/12 04:34:49.301,-67.91529866076593,-55.80626129143855
2023/02/12 04:34:49.428,-67.62528717176163,-51.89275760889045
2023/02/12 04:34:49.562,-67.64076298120773,-61.9648461904559
2023/02/12 04:34:49.701,-67.26233595908907,-61.9648461904559
2023/02/12 04:34:49.834,-37.87273774906369,-43.483071682469536
2023/02/12 04:34:49.973,-37.25867697177524,-60.74551331852541
2023/02/12 04:34:50.110,-28.929618477125985,-58.19174368750147
2023/02/12 04:34:50.248,-38.0324006495269,-40.86712976727712
2023/02/12 04:34:50.375,-15.969976510459052,-50.47832287801495
2023/02/12 04:34:50.502,-25.72529699593066,-49.747221371568315
2023/02/12 04:34:50.640,-40.07977865663843,-52.040293347781
2023/02/12 04:34:50.766,-27.317297737449802,-48.71121177885098
2023/02/12 04:34:50.900,-19.85259019720504,-60.39239625541001
2023/02/12 04:34:51.037,-33.06076708451279,-65.27749420716874
2023/02/12 04:34:51.163,-36.44705591759763,-43.36372250850828
