時刻,CABLE Output (VB-Audio Virtual Cable),ヘッドセット (Jabra Elite 85t Hands-Free AG Audio)
2023/02/12 04:31:00.768,-68.07782798818016,-70.76604103324804
2023/02/12 04:31:00.901,-60.212710149734754,-83.85898954864453
2023/02/12 04:31:01.036,-67.92873411433916,-46.47562463641055
2023/02/12 04:31:01.173,-68.26209492925561,-36.15050719422611
2023/02/12 04:31:01.300,-38.48592014411937,-40.03899081103329
2023/02/12 04:31:01.437,-45.366407759053196,-45.98683899376372
2023/02/12 04:31:01.569,-32.946441594722444,-29.159047857216223
2023/02/12 04:31:01.698,-30.320187778647636,-41.90768831100954
2023/02/12 04:31:01.840,-37.478626630387424,-31.659946548661967
2023/02/12 04:31:01.969,-28.02103043021082,-42.694214105055366
2023/02/12 04:31:02.100,-48.54202777151158,-41.725735844767975
2023/02/12 04:31:02.237,-48.290906352708596,-65.48815445594639
2023/02/12 04:31:02.373,-46.15366111460994,-72.92927760411118
2023/02/12 04:31:02.501,-51.74858896847982,-77.56347703346678
2023/02/12 04:31:02.638,-68.00751721880485,-47.94786476736526
2023/02/12 04:31:02.767,-67.94336216462467,-38.68646388736404
2023/02/12 04:31:02.900,-41.38672326204827,-49.61378465956891
2023/02/12 04:31:03.036,-28.221221640319342,-32.92047231723093
2023/02/12 04:31:03.172,-35.31154429887776,-37.97204847694527
2023/02/12 04:31:03.297,-33.77777919267802,-35.14400591261881
2023/02/12 04:31:03.424,-33.9389757716457,-32.12265960080212
2023/02/12 04:31:03.559,-36.10780834658153,-43.019074483487586
2023/02/12 04:31:03.690,-31.95945274251134,-55.459225993423196
2023/02/12 04:31:03.816,-61.30005998647631,-43.66204029717832
2023/02/12 04:31:03.953,-34.7673455395418,-36.76046505815833
2023/02/12 04:31:04.079,-37.73861139351956,-45.97153890448831
2023/02/12 04:31:04.210,-45.002866198142556,-49.39828478438496
2023/02/12 04:31:04.335,-35.55864702577689,-80.99674706933241
2023/02/12 04:31:04.470,-66.83546199715799,-79.98508527620685
2023/02/12 04:31:04.605,-67.90854934850248,-66.15661559529407
2023/02/12 04:31:04.743,-67.94644806349572,-47.35903625793728
2023/02/12 04:31:04.874,-67.92680184860599,-47.35903625793728
2023/02/12 04:31:05.004,-31.25371482157014,-55.860830667175776
2023/02/12 04:31:05.128,-31.943193365258505,-44.89187598778191
2023/02/12 04:31:05.255,-35.20951696367851,-52.06291027091886
2023/02/12 04:31:05.382,-37.03526243911343,-48.58445542234107
2023/02/12 04:31:05.514,-50.05141221502864,-40.293218111842165
2023/02/12 04:31:05.651,-44.24928680093448,-52.98388612225119
2023/02/12 04:31:05.790,-52.0267404706201,-41.597802027036074
2023/02/12 04:31:05.927,-38.56620091981491,-52.75614045305474
2023/02/12 04:31:06.064,-50.205006450665095,-71.98356520269843
2023/02/12 04:31:06.195,-68.00462067354876,-77.84458207808991
2023/02/12 04:31:06.328,-67.95052154482407,-46.111022408901505
2023/02/12 04:31:06.455,-67.06797081471498,-30.45732511474199
2023/02/12 04:31:06.591,-48.381819688107086,-45.42312562341368
2023/02/12 04:31:06.719,-34.104387423417855,-49.460619947858085
2023/02/12 04:31:06.851,-59.25299084124112,-51.423192124395094
2023/02/12 04:31:06.984,-47.78520455075796,-37.114660715499106
2023/02/12 04:31:07.119,-56.07458783010053,-43.19443407399731
2023/02/12 04:31:07.255,-34.47729593708414,-44.61715465597969
2023/02/12 04:31:07.389,-41.711661200750015,-78.81059086423123
2023/02/12 04:31:07.516,-41.711661200750015,-77.04841054219486
2023/02/12 04:31:07.647,-67.95038940687094,-78.66127741659342
2023/02/12 04:31:07.781,-67.94031484303893,-41.769282229761615
2023/02/12 04:31:07.907,-67.95516358691859,-32.17117223336187
2023/02/12 04:31:08.036,-29.763640737982588,-39.68586983132012
2023/02/12 04:31:08.172,-34.574158563609174,-44.06970647743066
2023/02/12 04:31:08.306,-32.861267513712384,-51.12419759846675
2023/02/12 04:31:08.439,-35.40891772523848,-40.143673427797154
2023/02/12 04:31:08.577,-47.40241429771544,-43.92158812453288
2023/02/12 04:31:08.704,-41.36361812715647,-37.8155558855744
2023/02/12 04:31:08.832,-35.51567580812615,-54.938141514932404
2023/02/12 04:31:08.970,-33.83551006060822,-41.08327331648514
2023/02/12 04:31:09.095,-60.93715364769673,-46.357441032793744
2023/02/12 04:31:09.220,-43.0080798804474,-66.23252687636314
2023/02/12 04:31:09.346,-38.587508195568375,-52.32276029776092
2023/02/12 04:31:09.483,-56.87691317717133,-47.65505150422047
2023/02/12 04:31:09.614,-53.244266115910776,-53.413487733618425
2023/02/12 04:31:09.753,-48.1340302467907,-78.89737865709766
2023/02/12 04:31:09.885,-64.77672783063531,-77.13296623440104
2023/02/12 04:31:10.016,-67.94716065296797,-56.806269597562604
2023/02/12 04:31:10.148,-41.89122241034444,-59.40974565153729
2023/02/12 04:31:10.274,-59.738239527013505,-38.473571126320245
2023/02/12 04:31:10.403,-29.418931153034823,-39.55585949351034
