時刻,マイク配列 (Realtek High Definition Audio(SST)),ヘッドセット (Jabra Elite 85t Hands-Free AG Audio)
2023/02/12 06:14:22.051,-38.67967565953603,-56.13127145120007
2023/02/12 06:14:22.178,-43.360532233318025,-55.759993373318125
2023/02/12 06:14:22.316,-48.32648332082694,-67.94885451349579
2023/02/12 06:14:22.443,-53.216043329024316,-68.1917733975176
2023/02/12 06:14:22.569,-42.92293823841761,-56.48391902931452
2023/02/12 06:14:22.707,-48.36707384813273,-71.05216223309208
2023/02/12 06:14:22.833,-36.784045483843684,-54.815398246193574
2023/02/12 06:14:22.962,-53.569112580971954,-74.71266123687721
2023/02/12 06:14:23.096,-37.56980270149647,-57.06676734240418
2023/02/12 06:14:23.223,-44.978729972269406,-67.81524064426581
2023/02/12 06:14:23.362,-39.95694723526534,-57.65150662737274
2023/02/12 06:14:23.491,-49.02302718933454,-71.1132194570445
2023/02/12 06:14:23.629,-37.25597499539369,-56.78780462338091
2023/02/12 06:14:23.770,-47.38067528126845,-72.48600038061491
2023/02/12 06:14:23.908,-54.43470353586083,-77.92139310935545
2023/02/12 06:14:24.041,-30.43894744672613,-52.30617515787116
2023/02/12 06:14:24.177,-14.246937374685489,-47.83789721341358
2023/02/12 06:14:24.314,-24.615731585604408,-54.02995874526506
2023/02/12 06:14:24.443,-17.426258875299062,-52.40458336842864
2023/02/12 06:14:24.581,-19.589043752069596,-50.79240598863167
2023/02/12 06:14:24.709,-37.815989100350485,-73.2190479817647
2023/02/12 06:14:24.845,-45.07624841631631,-83.73326261503851
2023/02/12 06:14:24.976,-45.24098844130223,-81.43143570126726
2023/02/12 06:14:25.116,-47.68878171245278,-73.00463789757644
2023/02/12 06:14:25.244,-22.86244612266014,-48.58297091034211
2023/02/12 06:14:25.382,-14.264819938919665,-45.16350501286287
2023/02/12 06:14:25.522,-21.28115415854927,-48.69266205895134
2023/02/12 06:14:25.657,-21.58645174139389,-57.56101379505018
2023/02/12 06:14:25.784,-25.380099197617074,-50.70105282926481
2023/02/12 06:14:25.910,-22.015429072539806,-50.649313406726705
