時刻,CABLE Output (VB-Audio Virtual Cable),ヘッドセット (Jabra Elite 85t Hands-Free AG Audio)
2023/02/12 04:33:20.737,-48.149962563949785,-70.29924486674716
2023/02/12 04:33:20.872,-36.14370224628173,-50.46022029624025
2023/02/12 04:33:21.015,-25.287804113401204,-63.047661171940504
2023/02/12 04:33:21.155,-26.192540062248536,-58.12052549423846
2023/02/12 04:33:21.283,-29.449188340080443,-65.74338991990297
2023/02/12 04:33:21.408,-44.01207069323527,-77.8089183011028
2023/02/12 04:33:21.534,-41.97083418358733,-82.23179935016105
2023/02/12 04:33:21.671,-67.92944380574356,-82.44711878911117
2023/02/12 04:33:21.797,-67.95754812960988,-71.12499589861878
2023/02/12 04:33:21.922,-58.425170064797015,-49.33603303518971
2023/02/12 04:33:22.047,-33.95827677522605,-49.33603303518971
2023/02/12 04:33:22.172,-29.063239881845902,-57.182076949628964
2023/02/12 04:33:22.298,-26.084511484872994,-57.182076949628964
2023/02/12 04:33:22.437,-40.27006349222646,-52.812042360630045
2023/02/12 04:33:22.569,-21.87388786991635,-71.73142177170499
2023/02/12 04:33:22.707,-28.714563253633365,-57.80956809842104
2023/02/12 04:33:22.832,-44.25611218795059,-56.4988993111036
2023/02/12 04:33:22.971,-27.75625510805435,-58.9090946399421
2023/02/12 04:33:23.107,-28.30413638643821,-52.988142439488556
2023/02/12 04:33:23.235,-32.270994008592616,-71.66335983626038
2023/02/12 04:33:23.362,-38.00335161147935,-61.763750320855245
2023/02/12 04:33:23.503,-40.19396151158459,-64.55890933876165
2023/02/12 04:33:23.635,-44.27578568270909,-55.27042378383417
2023/02/12 04:33:23.760,-35.90553863293378,-58.83404057271785
2023/02/12 04:33:23.885,-35.27711071249471,-59.650603880768514
2023/02/12 04:33:24.021,-39.50438107601471,-64.73020261786019
2023/02/12 04:33:24.153,-36.807247937746276,-70.4536268283928
2023/02/12 04:33:24.281,-67.4931547873294,-79.81183239605764
2023/02/12 04:33:24.406,-48.15445172610558,-75.65214984666432
2023/02/12 04:33:24.535,-59.7542311290158,-66.2198756305791
2023/02/12 04:33:24.659,-43.20741741416222,-80.21017945238498
2023/02/12 04:33:24.785,-64.69525204301218,-83.00176152333405
2023/02/12 04:33:24.911,-67.94058111713113,-56.257266850368325
2023/02/12 04:33:25.045,-46.78359869798669,-60.16121096925992
2023/02/12 04:33:25.171,-38.304451724282615,-49.92851849510103
2023/02/12 04:33:25.297,-39.39074768893256,-46.08473670658143
2023/02/12 04:33:25.436,-42.6564927607552,-62.46403486446313
2023/02/12 04:33:25.563,-24.723347929364138,-42.056115145270624
2023/02/12 04:33:25.703,-34.894286616565154,-60.639862776652826
2023/02/12 04:33:25.831,-32.73948633346306,-55.69632108257885
2023/02/12 04:33:25.969,-40.051561735825565,-47.59439030628984
2023/02/12 04:33:26.097,-36.47922286214451,-71.38761184099825
2023/02/12 04:33:26.234,-60.31687855922069,-77.40051429977844
